tweet_id,user_id,created_at,text,name,screen_name,followers_count,friends_count,favourites_count,location,cln_txt
1.19837e+18,1.05297e+18,Sat Nov 23 22:55:58 +0000 2019,@gacfanforlife87 ☮️ hope you feel better tomorrow. 💚,Katie Casalino 🦃🕯️🌾🌴👣💜💙,Katie_diditall,3538.0,4900.0,69867.0,"Pinellas County, FL",gacfanforlife hope feel better tomorrow
1.19837e+18,86311084.0,Sat Nov 23 22:55:58 +0000 2019,mfs love staring at the gym like can i get my face back,rahquise bowen,RAHQUISEBOWEN,19571.0,2803.0,44009.0,NYC,love staring gym like get face back
1.19837e+18,250211383.0,Sat Nov 23 22:55:58 +0000 2019,@MagicPoopCannon “The safety of cash” they said https://t.co/z6JXRQsIet,BarryG,CryptoBarryG,1158.0,407.0,12429.0,"Orlando, FL",magicpoopcannon safety cash said
1.19837e+18,8.35702e+17,Sat Nov 23 22:55:58 +0000 2019,@MassRMV is not @CDC_HIVAIDS.,Steven Lee Cochran,StevenLeeCochr2,305.0,1682.0,1123.0,"Chelsea, MA",massrmv
1.19837e+18,32683813.0,Sat Nov 23 22:55:58 +0000 2019,@BillNeville87 Holy crap how did I not notice that haha,Collyn Wall,collynwall,715.0,712.0,12144.0,McPherson Kansas,billneville holy crap notice haha
1.19837e+18,287995052.0,Sat Nov 23 22:55:58 +0000 2019,What to do tonight?,SPÍCY CREOLE 🦜,mynameisartesia,2722.0,574.0,1521.0,"Dallas, TX",tonight
1.19837e+18,2216946289.0,Sat Nov 23 22:55:58 +0000 2019,Callese hombre horrible,Doc Anthony Scarface,robertbourdain1,3249.0,3751.0,108112.0,"Zapopan, Jalisco",hombre horrible
1.19837e+18,9.91477e+17,Sat Nov 23 22:55:59 +0000 2019,Awesome.,BearBurke #Patriot #ShallNotBeInfringed,BearBurke1,540.0,527.0,13463.0,"Bel Air, MD",
1.19837e+18,1.09896e+18,Sat Nov 23 22:55:58 +0000 2019,Finally it came!! @kyliecosmetics @KylieJenner #KYLIECOSMETICS https://t.co/1PwYh9MK09,Nicole,nicky_mejia94,91.0,148.0,2096.0,"California, USA",came kyliecosmetics
1.19837e+18,263291367.0,Sat Nov 23 22:55:58 +0000 2019,(When you have to explain why you are wearing an SMU football shirt every 20 minutes to people who keep asking) https://t.co/JH1UxJvDZx,"Jim Scroggs, Smiling Politely",JHScroggs,731.0,1753.0,66611.0,742 Evergreen Terrace,explain wearing smu football shirt every minutes people keep asking
1.19837e+18,1.05329e+18,Sat Nov 23 22:55:59 +0000 2019,Y’all english book say couse? Cause ours don’t 🤦🏽‍♀️,Original 🥴,___justyceee___,1487.0,1141.0,4187.0,"3️⃣Baby, ",english book say couse cause
1.19837e+18,318089753.0,Sat Nov 23 22:55:59 +0000 2019,☠️☠️☠️,SHARDEL 🦋,unusualshardel,544.0,479.0,11669.0,"San Diego, CA",
1.19837e+18,2976278284.0,Sat Nov 23 22:55:59 +0000 2019,here's the lowdown and I do mean low  Official says Defense chief and Joint Chiefs Chairman raised concerns with Wh… https://t.co/mMWrPq543o,Sharon lee . sad witch of the west,Sharleesmad,4522.0,4981.0,1782.0,"The Emerald City,Go Seahawks!",lowdown mean low official says defense chief joint chiefs chairman raised concerns
1.19837e+18,385099652.0,Sat Nov 23 22:55:59 +0000 2019,"DALLAS!!! Man were so ready to rock this one!

#musicindustry #musicismylife #musicfestivals #musiclife… https://t.co/dXfl6Iee4K",Bubba Westly,BubbaWestly,1264.0,2679.0,766.0,"Boling, Tx",man ready rock musicismylife musicfestivals
1.19837e+18,2752486498.0,Sat Nov 23 22:55:59 +0000 2019,Yesterday’s holiday inspired look was HIT sephoratimessquare and I am in love 😍 with the @toofaced Gingerbread coll… https://t.co/flAn0kxvW7,WhitneyRae,cntstopmypretty,201.0,360.0,409.0,Brooklyn,holiday inspired look hit sephoratimessquare love gingerbread
1.19837e+18,2828059248.0,Sat Nov 23 22:55:59 +0000 2019,And Indiana’s secondary said “I am space”,Jay Cole,jay_cole523,705.0,2623.0,15256.0,"Holt, MI",secondary said space
1.19837e+18,198674814.0,Sat Nov 23 22:55:59 +0000 2019,https://t.co/809VSZOKvV,Brett S,fatimus07,3413.0,3641.0,104270.0,In the cut ,
1.19837e+18,9.81728e+17,Sat Nov 23 22:55:59 +0000 2019,Hakasan,Arsalan Modjbafan,In8Mate,44.0,208.0,3962.0,Colorado,
1.19837e+18,541284940.0,Sat Nov 23 22:55:59 +0000 2019,After my Warriors game some lil drink &amp; food  #bbqpulledpork #slider https://t.co/V6oB9koVI1,🏈sabss2314 🥊🏋️‍♂️🧘‍♀️,CaleMom,327.0,656.0,12514.0,"Chicago, IL",warriors game lil drink amp food bbqpulledpork slider
1.19837e+18,360045617.0,Sat Nov 23 22:55:59 +0000 2019,Sorry my feed is DEFFINETLY gonna piss someone off today but I’m trying to get @MrBeastYT attention,JoNaThAn,Demuthjon,254.0,400.0,4613.0,"Minnesota, USA",feed deffinetly gon na piss someone today trying get attention
